Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
26.456523895263672,26.787963503541896,26.348299770228813,26.774435917960403,139409600
26.217525482177734,26.63013401452879,26.172432386701793,26.456521984544622,133546400
25.974018096923828,26.332514563195442,25.753059525427997,26.278402505713586,166278000
26.837568283081055,26.887171726276318,25.953730430375632,25.994314909336165,231108000
26.66846466064453,27.024705981494215,26.562493988729248,26.826293943140787,128336800
26.657196044921875,26.74061845965999,26.34830294874675,26.497111568669016,137238000
26.0687198638916,26.53544050807796,25.946966427991917,26.524166372827583,185445600
26.192729949951172,26.366342020939992,26.04392132358106,26.163419602988263,116850800
25.518573760986328,26.016859893666684,25.444168600672466,25.971766795399066,187544800
25.360740661621094,25.405833750046693,24.754228817207764,25.29309930879164,257274800
24.912063598632812,25.432898038572702,24.88049808350816,25.23899460555466,213292400
25.103713989257812,25.250269162016448,24.53102432618106,25.042838124981426,224954000
24.57160186767578,25.308884425457535,24.57160186767578,25.25702582075286,179091200
23.90646743774414,24.693353425186913,23.856864004003178,24.555818977347712,385813200
24.19957733154297,24.208596293921822,23.802751587829373,24.188303198521606,190362400
24.177034378051758,24.287513673273768,24.001167165819563,24.21536368371368,131157600
24.488183975219727,24.54229604416937,24.17027191473331,24.186054673184938,130629600
24.357404708862305,24.576109814552673,24.339366784225923,24.576109814552673,54281600
24.084596633911133,24.28075526789059,23.940296622773996,24.25820699349456,106816800
24.517492294311523,24.673066414898024,24.093611302224808,24.11615785240755,123724800
24.19732666015625,24.508473179220985,24.165761146056557,24.481418007244965,100855200
23.73286247253418,24.131941762427935,23.63365558276081,24.1274331402526,163649200
23.753149032592773,23.757659374044465,22.997828537412097,23.13536470843741,270597600
23.157917022705078,23.865889430114205,23.090277365805008,23.84334287781418,223164000
22.704721450805664,23.081255885975757,22.517583538933,22.67315593698659,273829600
21.746479034423828,22.576204819963493,21.74197041241282,22.249275538132114,324377600
21.861469268798828,22.346227857182512,21.8163761667038,22.219965795163166,283192000
22.21546173095703,22.334960033451658,21.947153053149954,22.314668647831997,198957600
22.537870407104492,22.702463456384304,22.285344626899796,22.670897948882608,196616800
21.958415985107422,22.815198491300194,21.938124609843808,22.619039929462637,249758400
22.43867301940918,22.65512476253134,21.586400516561202,22.086941947171443,252680400
21.899797439575195,22.030569837123405,21.500718174178445,21.690111257365654,319335600
21.793827056884766,22.242509734760187,21.53228227890464,22.18839767456103,212350800
21.823137283325195,22.138794119848882,21.06330639285927,21.442094252649422,289337600
21.712656021118164,22.068895580088583,21.406018175788052,21.884011148656416,208646000
22.8670654296875,22.876084396056317,22.17938601593669,22.23800671704608,263202000
22.420629501342773,22.891858708910625,22.36877089390849,22.889603538102705,207178000
22.544641494750977,22.745308737463674,22.111741491608417,22.531113907212678,300308000
21.06329917907715,21.78705396826625,21.045261258552557,21.65402817482665,533478800
21.214372634887695,21.31132435199007,20.831076108775935,21.146732982145863,222715200
21.947147369384766,21.947147369384766,21.272995672044384,21.372202563227233,257666000
21.741968154907227,21.805099177655535,21.509735441143935,21.75098711818432,163774000
21.302303314208984,21.65403426236576,21.257208500220127,21.514242919287195,149428800
21.723934173583984,21.834413483457404,21.21212038604691,21.419551418517074,183857200
21.898481369018555,22.063967550836807,21.578846044582523,21.73072950888564,185886800
21.313621520996094,21.971029914314222,21.238814333488854,21.88035259635207,185672400
21.538040161132812,21.69445670294883,21.091455965206304,21.111857446063695,216085600
21.533510208129883,21.748869022008886,21.293216821858767,21.37482622276702,177324800
21.37029457092285,21.841815239434162,21.331757272988767,21.74433742555467,169374400
21.241073608398438,21.472300785963785,20.989444948443747,21.26147682031325,200298800
21.306812286376953,21.422425862600925,21.084654764484135,21.352151791526197,161405600
21.90755271911621,21.95515791409869,21.447367438093213,21.540310419861186,196231600
22.243059158325195,22.26346064438002,21.796474848627966,21.914354136949324,179452800
21.821413040161133,22.417613487779054,21.7828740139564,22.406278174861324,156084000
21.771533966064453,21.93475273827098,21.717128285170748,21.762466064327935,141496800
21.961959838867188,21.96649465555637,21.7443353349834,21.83274523563851,137123200
21.465503692626953,21.875816379034177,21.433766895309585,21.853147485168304,127770400
21.785137176513672,21.848610765619725,21.154932642495577,21.30455044212464,145022800
21.93475914001465,21.93475914001465,21.59245310004071,21.77380772864932,110330800
21.96875762939453,22.22038456002593,21.893948734855904,22.034496892385544,115964400
21.918888092041016,22.26799458575054,21.909820188753347,21.957425383869325,140865200
22.789386749267578,22.84379244112926,22.084373245235227,22.13651325835009,201628400
22.839258193969727,22.87099499007076,22.587629503793217,22.78485250487163,132678400
23.009281158447266,23.056886360197492,22.77125342017019,22.800724542343627,147822800
23.351585388183594,23.519337285519104,22.979809978128777,23.206502385700045,184220400
23.093158721923828,23.3107832495856,22.886867778171705,23.211038025835038,143315600
22.902725219726562,23.06821137725737,22.759909678218598,22.846052138719806,126247600
22.923133850097656,23.027412136271312,22.730443945478886,22.96620422577282,108806800
22.934467315673828,23.177028089350504,22.703241852632512,22.98887473129285,134054400
23.181560516357422,23.186093602429043,23.009273843703955,23.1770257007604,109632800
23.240507125854492,23.328918764578578,23.07275521218706,23.102226334937086,100304400
23.707487106323242,23.843502174596225,23.542000924748738,23.56693722237675,160270800
24.022584915161133,24.09965947214647,23.70974841333213,23.714283228169563,153214000
23.984060287475586,24.135943803666237,23.79363774293908,23.92058495294607,137682800
24.01125717163086,24.142739170934313,23.8457726979607,24.10646755890895,176820800
24.008995056152344,24.40343938307577,23.834440924044944,24.013528143565434,142010800
